"","unlist.path_comp3."
"1","C00022"
"2","C00024"
"3","C00031"
"4","C00033"
"5","C00036"
"6","C00068"
"7","C00074"
"8","C00084"
"9","C00103"
"10","C00111"
"11","C00118"
"12","C00186"
"13","C00197"
"14","C00221"
"15","C00236"
"16","C00267"
"17","C00469"
"18","C00631"
"19","C00668"
"20","C01159"
"21","C01172"
"22","C01451"
"23","C05125"
"24","C05345"
"25","C05378"
"26","C06186"
"27","C06187"
"28","C06188"
"29","C15972"
"30","C15973"
"31","C16255"
"34","C00026"
"36","C00042"
"39","C00091"
"40","C00122"
"41","C00149"
"42","C00158"
"43","C00311"
"44","C00417"
"46","C05379"
"47","C05381"
"50","C16254"
"54","C00117"
"56","C00119"
"57","C00121"
"59","C00198"
"60","C00199"
"61","C00204"
"63","C00231"
"64","C00257"
"65","C00258"
"66","C00279"
"67","C00345"
"68","C00577"
"69","C00620"
"72","C00672"
"73","C00673"
"74","C01151"
"76","C01218"
"77","C01236"
"78","C01801"
"79","C03752"
"80","C04442"
"83","C05382"
"84","C06019"
"85","C06473"
"86","C20589"
"89","C00029"
"92","C00116"
"93","C00167"
"94","C00181"
"95","C00191"
"99","C00259"
"100","C00266"
"101","C00309"
"102","C00310"
"103","C00312"
"104","C00333"
"105","C00379"
"106","C00433"
"107","C00470"
"108","C00474"
"109","C00476"
"110","C00502"
"111","C00508"
"112","C00514"
"113","C00532"
"114","C00558"
"115","C00618"
"116","C00714"
"117","C00789"
"118","C00800"
"119","C00817"
"120","C00905"
"121","C01068"
"122","C01101"
"123","C01508"
"124","C01904"
"125","C02266"
"126","C02273"
"127","C02426"
"128","C03033"
"129","C03291"
"130","C03826"
"131","C04053"
"132","C04349"
"133","C04575"
"134","C05385"
"135","C05411"
"136","C05412"
"137","C06118"
"138","C06441"
"139","C14899"
"140","C15930"
"141","C20680"
"142","C00095"
"143","C00096"
"146","C00159"
"148","C00247"
"150","C00275"
"151","C00325"
"152","C00392"
"153","C00424"
"154","C00464"
"155","C00507"
"157","C00636"
"158","C00644"
"159","C00665"
"160","C00794"
"161","C00861"
"162","C00976"
"163","C01019"
"164","C01094"
"165","C01096"
"166","C01099"
"167","C01131"
"168","C01222"
"169","C01355"
"170","C01487"
"171","C01720"
"172","C01721"
"173","C01768"
"174","C01934"
"175","C02431"
"176","C02492"
"177","C02888"
"178","C02962"
"179","C02977"
"180","C02985"
"181","C02991"
"182","C03117"
"183","C03267"
"184","C03827"
"185","C03979"
"186","C05144"
"189","C05392"
"190","C06192"
"191","C11516"
"192","C11544"
"193","C18028"
"194","C18096"
"195","C20781"
"198","C00052"
"199","C00085"
"200","C00089"
"206","C00124"
"207","C00137"
"209","C00243"
"211","C00446"
"212","C00492"
"216","C00795"
"217","C00880"
"218","C00984"
"219","C01097"
"220","C01113"
"221","C01132"
"222","C01216"
"223","C01235"
"224","C01286"
"225","C01613"
"226","C01697"
"227","C02262"
"228","C02669"
"229","C03383"
"230","C03733"
"231","C03785"
"232","C05396"
"233","C05399"
"234","C05400"
"235","C05401"
"236","C05402"
"237","C05404"
"238","C05796"
"239","C06311"
"240","C06376"
"241","C06377"
"245","C00072"
"254","C00545"
"257","C00679"
"258","C00684"
"260","C00818"
"261","C00879"
"262","C01040"
"263","C01041"
"265","C01114"
"266","C01115"
"267","C01146"
"268","C01620"
"269","C01825"
"270","C02280"
"271","C02670"
"272","C03064"
"273","C03289"
"275","C03921"
"280","C05422"
"282","C15923"
"283","C15924"
"284","C15925"
"285","C15926"
"287","C16186"
"288","C20889"
"289","C20896"
"290","C21955"
"292","C00083"
"293","C00154"
"294","C00173"
"295","C00229"
"296","C00249"
"297","C00383"
"298","C00638"
"299","C00685"
"300","C00693"
"301","C00712"
"302","C01203"
"303","C01209"
"304","C01271"
"305","C01530"
"306","C01571"
"307","C02679"
"308","C02843"
"309","C03939"
"310","C04088"
"311","C04180"
"312","C04246"
"313","C04618"
"314","C04619"
"315","C04620"
"316","C04633"
"317","C04688"
"318","C05223"
"319","C05744"
"320","C05745"
"321","C05746"
"322","C05747"
"323","C05748"
"324","C05749"
"325","C05750"
"326","C05751"
"327","C05752"
"328","C05753"
"329","C05754"
"330","C05755"
"331","C05756"
"332","C05757"
"333","C05758"
"334","C05759"
"335","C05760"
"336","C05761"
"337","C05762"
"338","C05763"
"339","C05764"
"340","C06423"
"341","C06424"
"342","C08362"
"343","C16219"
"344","C16220"
"345","C16221"
"346","C16520"
"347","C20683"
"348","C20794"
"350","C00040"
"352","C00136"
"354","C00162"
"356","C00264"
"357","C00605"
"359","C00640"
"360","C00658"
"361","C01832"
"362","C01944"
"363","C02593"
"365","C03221"
"366","C05258"
"367","C05259"
"368","C05260"
"369","C05261"
"370","C05262"
"371","C05263"
"372","C05264"
"373","C05265"
"374","C05266"
"375","C05267"
"376","C05268"
"377","C05269"
"378","C05270"
"379","C05271"
"380","C05272"
"381","C05273"
"382","C05274"
"383","C05275"
"384","C05276"
"385","C20876"
"386","C20877"
"387","C20878"
"388","C20879"
"389","C00010"
"391","C00071"
"395","C00226"
"398","C00332"
"399","C00340"
"400","C00435"
"401","C00489"
"402","C00517"
"403","C00527"
"405","C00823"
"406","C00877"
"407","C01144"
"408","C01371"
"412","C02990"
"414","C03547"
"415","C03561"
"416","C05102"
"436","C05279"
"437","C05280"
"440","C00164"
"441","C00207"
"443","C00356"
"444","C01089"
"445","C00187"
"446","C00448"
"447","C00751"
"448","C01054"
"449","C01164"
"450","C01189"
"451","C01561"
"452","C01673"
"453","C01694"
"454","C01724"
"455","C01753"
"456","C01789"
"457","C01802"
"458","C01902"
"459","C01943"
"460","C02141"
"461","C02530"
"462","C03428"
"463","C03845"
"464","C04525"
"465","C05103"
"466","C05107"
"467","C05108"
"468","C05109"
"469","C05437"
"470","C05439"
"471","C05440"
"472","C05441"
"473","C05442"
"474","C05443"
"475","C07712"
"476","C08813"
"477","C08821"
"478","C08830"
"479","C11455"
"480","C11508"
"481","C11522"
"482","C11523"
"483","C15776"
"484","C15777"
"485","C15778"
"486","C15780"
"487","C15781"
"488","C15782"
"489","C15783"
"490","C15808"
"491","C15816"
"492","C15915"
"493","C18231"
"494","C21106"
"495","C22112"
"496","C22116"
"497","C22119"
"498","C22120"
"499","C22121"
"500","C22122"
"501","C22123"
"502","C22136"
"503","C00037"
"505","C00245"
"506","C00695"
"507","C01301"
"508","C01794"
"509","C01921"
"510","C02528"
"511","C03594"
"512","C04554"
"513","C04722"
"514","C05122"
"515","C05337"
"516","C05444"
"517","C05445"
"518","C05446"
"519","C05447"
"520","C05448"
"521","C05449"
"522","C05451"
"523","C05452"
"524","C05453"
"525","C05454"
"526","C05455"
"527","C05460"
"528","C05465"
"529","C05466"
"530","C05467"
"531","C05468"
"532","C06341"
"533","C13550"
"534","C15518"
"535","C15519"
"536","C15520"
"537","C15610"
"538","C15613"
"539","C15614"
"540","C17331"
"541","C17332"
"542","C17333"
"543","C17335"
"544","C17336"
"545","C17337"
"546","C17339"
"547","C17343"
"548","C17345"
"549","C17346"
"550","C00082"
"551","C00156"
"552","C00223"
"553","C00251"
"554","C00341"
"555","C00353"
"556","C00399"
"557","C00423"
"558","C00544"
"559","C00811"
"560","C00828"
"561","C00885"
"562","C01179"
"563","C01230"
"564","C01967"
"565","C02059"
"566","C02477"
"567","C02483"
"568","C02730"
"569","C02949"
"570","C03160"
"571","C03313"
"572","C03657"
"573","C03885"
"574","C03964"
"575","C03993"
"576","C04145"
"577","C04146"
"578","C05200"
"579","C05313"
"580","C05427"
"581","C05802"
"582","C05803"
"583","C05804"
"584","C05805"
"585","C05807"
"586","C05809"
"587","C05810"
"588","C05811"
"589","C05812"
"590","C05813"
"591","C05814"
"592","C05815"
"593","C05817"
"594","C05819"
"595","C05847"
"596","C05848"
"597","C05849"
"598","C06986"
"599","C10793"
"600","C13309"
"601","C13425"
"602","C14151"
"603","C14152"
"604","C14153"
"605","C14154"
"606","C14155"
"607","C14156"
"608","C15547"
"609","C15882"
"610","C15883"
"611","C16519"
"612","C16695"
"613","C16999"
"614","C17010"
"615","C17017"
"616","C17018"
"617","C17412"
"618","C17432"
"619","C17551"
"620","C17552"
"621","C17554"
"622","C17559"
"623","C17560"
"624","C17561"
"625","C17562"
"626","C17568"
"627","C17569"
"628","C17570"
"629","C18131"
"630","C18132"
"631","C18133"
"632","C18134"
"633","C18135"
"634","C19847"
"635","C20265"
"636","C20737"
"637","C20738"
"638","C20772"
"639","C20773"
"640","C21084"
"641","C22039"
"643","C00280"
"644","C00410"
"645","C00468"
"646","C00523"
"647","C00535"
"648","C00674"
"649","C00735"
"650","C00762"
"651","C00951"
"652","C01124"
"653","C01176"
"654","C01227"
"655","C01780"
"656","C01953"
"657","C02140"
"658","C02373"
"659","C02537"
"660","C02538"
"661","C03205"
"662","C03681"
"663","C03747"
"664","C03772"
"665","C03852"
"666","C03917"
"667","C03935"
"668","C04042"
"669","C04295"
"670","C04373"
"671","C04518"
"672","C04555"
"673","C04676"
"674","C05138"
"675","C05139"
"676","C05140"
"677","C05141"
"678","C05284"
"679","C05285"
"680","C05290"
"681","C05291"
"682","C05293"
"683","C05294"
"684","C05295"
"685","C05296"
"686","C05297"
"687","C05298"
"688","C05299"
"689","C05300"
"690","C05301"
"691","C05302"
"692","C05469"
"693","C05470"
"694","C05471"
"695","C05472"
"696","C05473"
"697","C05474"
"698","C05475"
"699","C05476"
"700","C05477"
"701","C05478"
"702","C05479"
"703","C05480"
"704","C05481"
"705","C05482"
"706","C05483"
"707","C05484"
"708","C05485"
"709","C05487"
"710","C05488"
"711","C05489"
"712","C05490"
"713","C05497"
"714","C05498"
"715","C05499"
"716","C05500"
"717","C05501"
"718","C05502"
"719","C05503"
"720","C05504"
"721","C08357"
"722","C08358"
"723","C08359"
"724","C11131"
"725","C11132"
"726","C11133"
"727","C11134"
"728","C11135"
"729","C11136"
"730","C13712"
"731","C13713"
"732","C18038"
"733","C18039"
"734","C18040"
"735","C18041"
"736","C18042"
"737","C18043"
"738","C18044"
"739","C18045"
"740","C18075"
"741","C00001"
"742","C00002"
"743","C00003"
"744","C00004"
"745","C00007"
"746","C00008"
"747","C00009"
"748","C00013"
"750","C00061"
"751","C00080"
"753","C00390"
"755","C00524"
"756","C00536"
"757","C00011"
"758","C00014"
"759","C00025"
"761","C00049"
"762","C00062"
"763","C00064"
"764","C00077"
"765","C00086"
"767","C00169"
"768","C00327"
"769","C00437"
"770","C00624"
"771","C01010"
"772","C01250"
"773","C03406"
"774","C04133"
"775","C15532"
"776","C20948"
"777","C20949"
"778","C20950"
"779","C20951"
"784","C00020"
"785","C00035"
"787","C00039"
"788","C00044"
"789","C00046"
"790","C00048"
"791","C00053"
"792","C00054"
"793","C00059"
"795","C00081"
"797","C00104"
"800","C00130"
"801","C00131"
"802","C00144"
"803","C00147"
"805","C00206"
"806","C00209"
"807","C00212"
"808","C00224"
"809","C00242"
"810","C00262"
"811","C00286"
"812","C00288"
"813","C00294"
"814","C00301"
"815","C00330"
"816","C00360"
"817","C00361"
"818","C00362"
"819","C00366"
"820","C00385"
"821","C00387"
"822","C00499"
"823","C00559"
"824","C00575"
"825","C00603"
"827","C00655"
"828","C00700"
"829","C00802"
"830","C00942"
"831","C01228"
"832","C01260"
"833","C01261"
"834","C01344"
"835","C01345"
"836","C01367"
"837","C01444"
"838","C01762"
"839","C02091"
"840","C02348"
"841","C02350"
"842","C02353"
"843","C02718"
"844","C03090"
"845","C03373"
"846","C03483"
"847","C03614"
"848","C03794"
"849","C03838"
"850","C04051"
"851","C04376"
"852","C04392"
"853","C04494"
"854","C04640"
"855","C04677"
"856","C04734"
"857","C04751"
"858","C04823"
"859","C05239"
"860","C05512"
"861","C05513"
"862","C05515"
"863","C05516"
"864","C05993"
"865","C06193"
"866","C06194"
"867","C06195"
"868","C06196"
"869","C06197"
"870","C06433"
"871","C06435"
"872","C11821"
"873","C12248"
"874","C15667"
"878","C07130"
"879","C07480"
"880","C07481"
"881","C13747"
"882","C16352"
"883","C16353"
"884","C16355"
"885","C16356"
"886","C16357"
"887","C16358"
"888","C16359"
"889","C16360"
"890","C16361"
"891","C16362"
"892","C16363"
"893","C16364"
"894","C16365"
"895","C16366"
"896","C21144"
"897","C00015"
"901","C00055"
"902","C00063"
"904","C00075"
"906","C00099"
"907","C00105"
"908","C00106"
"909","C00112"
"912","C00178"
"913","C00214"
"914","C00222"
"915","C00239"
"916","C00295"
"917","C00299"
"918","C00337"
"919","C00363"
"920","C00364"
"921","C00365"
"922","C00380"
"924","C00429"
"925","C00438"
"926","C00458"
"927","C00459"
"928","C00460"
"929","C00475"
"930","C00526"
"932","C00705"
"933","C00813"
"934","C00881"
"935","C01013"
"936","C01103"
"937","C01168"
"938","C01205"
"939","C01346"
"940","C01368"
"941","C01563"
"942","C02067"
"943","C02170"
"944","C02354"
"945","C02355"
"946","C02376"
"947","C02642"
"948","C03997"
"949","C05281"
"950","C05822"
"951","C06198"
"952","C11038"
"953","C11039"
"954","C15607"
"955","C20231"
"956","C20249"
"957","C20253"
"958","C20254"
"959","C20846"
"960","C21028"
"961","C21029"
"967","C00041"
"972","C00152"
"975","C00232"
"976","C00334"
"977","C00352"
"978","C00402"
"980","C00940"
"981","C01042"
"982","C02362"
"986","C03912"
"987","C12270"
"988","C20775"
"989","C20776"
"996","C00065"
"997","C00078"
"998","C00097"
"999","C00101"
"1000","C00109"
"1001","C00114"
"1002","C00143"
"1003","C00168"
"1004","C00188"
"1006","C00213"
"1008","C00263"
"1009","C00300"
"1010","C00430"
"1011","C00441"
"1012","C00546"
"1013","C00576"
"1014","C00581"
"1016","C00719"
"1017","C00740"
"1018","C00986"
"1019","C01005"
"1020","C01026"
"1021","C01102"
"1022","C01242"
"1023","C01726"
"1024","C01888"
"1025","C02051"
"1026","C02291"
"1027","C02737"
"1028","C02855"
"1029","C02972"
"1030","C03082"
"1031","C03194"
"1032","C03232"
"1033","C03283"
"1034","C03508"
"1035","C05519"
"1036","C06231"
"1037","C06442"
"1038","C16432"
"1039","C19929"
"1040","C00019"
"1041","C00021"
"1045","C00051"
"1048","C00073"
"1049","C00094"
"1052","C00155"
"1053","C00170"
"1056","C00283"
"1057","C00409"
"1059","C00491"
"1060","C00506"
"1061","C00606"
"1062","C00793"
"1063","C00957"
"1064","C00979"
"1066","C01077"
"1067","C01118"
"1068","C01137"
"1069","C01180"
"1070","C01234"
"1071","C01817"
"1072","C01962"
"1073","C02218"
"1075","C02356"
"1076","C02989"
"1078","C03089"
"1079","C03145"
"1081","C03539"
"1082","C04188"
"1083","C04582"
"1084","C05524"
"1085","C05526"
"1086","C05527"
"1087","C05528"
"1088","C05823"
"1089","C05824"
"1090","C06547"
"1091","C08276"
"1092","C09306"
"1093","C11481"
"1094","C11499"
"1095","C11537"
"1096","C15606"
"1097","C15650"
"1098","C15651"
"1099","C18049"
"1100","C19787"
"1101","C21015"
"1102","C21016"
"1106","C00100"
"1107","C00123"
"1108","C00141"
"1110","C00183"
"1111","C00233"
"1113","C00349"
"1115","C00407"
"1116","C00630"
"1117","C00671"
"1118","C00683"
"1120","C01213"
"1122","C02939"
"1123","C03069"
"1124","C03231"
"1125","C03284"
"1126","C03344"
"1127","C03345"
"1128","C03460"
"1129","C04405"
"1130","C05996"
"1131","C05998"
"1132","C06000"
"1133","C06001"
"1134","C06002"
"1137","C15974"
"1138","C15975"
"1139","C15976"
"1140","C15977"
"1141","C15978"
"1142","C15979"
"1143","C15980"
"1144","C20827"
"1155","C02226"
"1156","C02504"
"1157","C02612"
"1158","C02631"
"1159","C04181"
"1160","C04236"
"1161","C04272"
"1162","C04411"
"1163","C06006"
"1164","C06007"
"1165","C06010"
"1166","C06032"
"1167","C14463"
"1172","C00047"
"1175","C00322"
"1177","C00408"
"1178","C00431"
"1179","C00449"
"1180","C00450"
"1181","C00487"
"1184","C00739"
"1186","C00956"
"1187","C00990"
"1188","C01028"
"1189","C01142"
"1191","C01149"
"1192","C01181"
"1193","C01186"
"1194","C01211"
"1195","C01259"
"1196","C01672"
"1197","C02188"
"1198","C02727"
"1199","C03087"
"1200","C03196"
"1201","C03239"
"1202","C03273"
"1203","C03366"
"1204","C03656"
"1205","C03793"
"1206","C03955"
"1207","C04020"
"1208","C04076"
"1209","C04092"
"1210","C04487"
"1211","C05161"
"1212","C05231"
"1213","C05544"
"1214","C05545"
"1215","C05546"
"1216","C05548"
"1217","C05554"
"1218","C05825"
"1219","C12455"
"1220","C16741"
"1221","C20333"
"1222","C00012"
"1230","C00134"
"1231","C00148"
"1232","C00179"
"1236","C00315"
"1238","C00406"
"1241","C00436"
"1243","C00533"
"1244","C00555"
"1246","C00750"
"1247","C00763"
"1248","C00791"
"1249","C00884"
"1251","C01035"
"1252","C01043"
"1253","C01110"
"1255","C01157"
"1256","C01165"
"1258","C01682"
"1259","C01877"
"1260","C02305"
"1261","C02565"
"1262","C02647"
"1263","C02714"
"1264","C02946"
"1265","C03078"
"1266","C03166"
"1267","C03287"
"1268","C03296"
"1269","C03375"
"1270","C03415"
"1271","C03440"
"1272","C03564"
"1273","C03771"
"1275","C04137"
"1276","C04281"
"1277","C04282"
"1278","C04498"
"1279","C05147"
"1280","C05931"
"1281","C05932"
"1282","C05933"
"1283","C05936"
"1284","C05938"
"1285","C05939"
"1286","C05941"
"1287","C05942"
"1288","C05945"
"1289","C05946"
"1290","C05947"
"1291","C10497"
"1292","C15699"
"1293","C15700"
"1294","C15767"
"1295","C18172"
"1296","C18174"
"1297","C18325"
"1298","C18326"
"1299","C19706"
"1304","C00135"
"1305","C00386"
"1306","C00388"
"1307","C00439"
"1308","C00785"
"1309","C00860"
"1310","C01044"
"1311","C01045"
"1312","C01100"
"1313","C01152"
"1314","C01262"
"1315","C01267"
"1316","C01929"
"1317","C02739"
"1318","C02741"
"1319","C02835"
"1320","C03277"
"1321","C03409"
"1322","C03680"
"1323","C04437"
"1324","C04666"
"1326","C04896"
"1327","C04916"
"1328","C05127"
"1329","C05130"
"1330","C05131"
"1331","C05133"
"1332","C05135"
"1333","C05565"
"1334","C05568"
"1335","C05570"
"1336","C05571"
"1337","C05572"
"1338","C05575"
"1339","C05827"
"1340","C05828"
"1341","C05829"
"1342","C16673"
"1343","C16674"
"1344","C20522"
"1345","C20994"
"1346","C20995"
"1351","C00146"
"1354","C00355"
"1355","C00483"
"1356","C00530"
"1358","C00547"
"1359","C00628"
"1360","C00642"
"1361","C00788"
"1363","C00822"
"1364","C01036"
"1365","C01060"
"1366","C01061"
"1367","C01161"
"1369","C01384"
"1370","C01693"
"1371","C01829"
"1372","C01850"
"1373","C02167"
"1374","C02442"
"1375","C02465"
"1376","C02514"
"1377","C02515"
"1378","C03063"
"1379","C03077"
"1380","C03758"
"1381","C03765"
"1383","C04043"
"1384","C04045"
"1385","C04052"
"1386","C04185"
"1387","C04186"
"1388","C04368"
"1389","C04642"
"1390","C04796"
"1391","C04797"
"1392","C05338"
"1393","C05350"
"1394","C05576"
"1395","C05577"
"1396","C05578"
"1397","C05579"
"1398","C05580"
"1399","C05581"
"1400","C05582"
"1401","C05583"
"1402","C05584"
"1403","C05585"
"1404","C05587"
"1405","C05588"
"1406","C05589"
"1407","C05593"
"1408","C05594"
"1409","C05595"
"1410","C05596"
"1411","C05600"
"1412","C05604"
"1413","C06044"
"1414","C06046"
"1415","C06047"
"1416","C06048"
"1417","C06199"
"1418","C06201"
"1419","C10447"
"1420","C17935"
"1421","C17936"
"1422","C17937"
"1423","C17938"
"1424","C22038"
"1428","C00079"
"1433","C00166"
"1434","C00180"
"1436","C00512"
"1437","C00582"
"1438","C00596"
"1439","C00601"
"1441","C00805"
"1442","C01198"
"1443","C01575"
"1444","C01586"
"1445","C01772"
"1446","C02137"
"1447","C02232"
"1448","C02265"
"1449","C02505"
"1450","C02763"
"1451","C02765"
"1452","C03519"
"1453","C03589"
"1454","C04044"
"1455","C04148"
"1456","C04351"
"1457","C04479"
"1458","C05332"
"1460","C05598"
"1461","C05607"
"1462","C05620"
"1463","C05629"
"1464","C05852"
"1465","C05853"
"1466","C06207"
"1467","C07086"
"1468","C08300"
"1469","C08301"
"1470","C11457"
"1471","C11588"
"1472","C12621"
"1473","C12622"
"1474","C12623"
"1475","C12624"
"1476","C14144"
"1477","C14145"
"1478","C15524"
"1479","C16719"
"1480","C17268"
"1481","C19945"
"1482","C19946"
"1483","C19975"
"1484","C20062"
"1487","C00108"
"1489","C00328"
"1490","C00331"
"1492","C00398"
"1493","C00463"
"1495","C00632"
"1496","C00637"
"1497","C00643"
"1498","C00780"
"1500","C00954"
"1501","C00955"
"1502","C00978"
"1503","C01111"
"1505","C01249"
"1506","C01252"
"1507","C01598"
"1508","C01717"
"1509","C01987"
"1510","C02161"
"1511","C02172"
"1512","C02220"
"1513","C02298"
"1514","C02470"
"1515","C02693"
"1516","C02700"
"1517","C02775"
"1518","C02937"
"1519","C02938"
"1520","C03227"
"1521","C03230"
"1522","C03453"
"1523","C03574"
"1524","C03722"
"1525","C03824"
"1526","C04409"
"1527","C05634"
"1528","C05635"
"1529","C05636"
"1530","C05637"
"1531","C05638"
"1532","C05639"
"1533","C05640"
"1534","C05641"
"1535","C05642"
"1536","C05643"
"1537","C05644"
"1538","C05645"
"1539","C05646"
"1540","C05647"
"1541","C05648"
"1542","C05651"
"1543","C05652"
"1544","C05653"
"1545","C05654"
"1546","C05655"
"1547","C05656"
"1548","C05658"
"1549","C05659"
"1550","C05660"
"1551","C05663"
"1552","C05830"
"1553","C05831"
"1554","C05832"
"1555","C05834"
"1556","C05835"
"1557","C05837"
"1558","C06212"
"1559","C06213"
"1560","C08313"
"1561","C10164"
"1562","C16516"
"1563","C16517"
"1564","C16518"
"1565","C17203"
"1566","C22006"
"1574","C00230"
"1576","C00254"
"1578","C00296"
"1579","C00354"
"1582","C00493"
"1583","C00587"
"1584","C00826"
"1585","C00944"
"1588","C01269"
"1589","C01302"
"1590","C02637"
"1591","C03175"
"1592","C03506"
"1593","C04302"
"1594","C04691"
"1595","C16848"
"1596","C16850"
"1597","C17235"
"1598","C20327"
"1599","C20653"
"1600","C20654"
"1601","C20710"
"1617","C00804"
"1618","C00864"
"1619","C00894"
"1622","C01073"
"1624","C02335"
"1626","C03492"
"1628","C05340"
"1629","C05341"
"1630","C05665"
"1631","C05668"
"1632","C05669"
"1633","C05670"
"1642","C00227"
"1645","C00519"
"1646","C00593"
"1648","C01678"
"1649","C01959"
"1650","C03149"
"1652","C05123"
"1653","C05844"
"1654","C06735"
"1655","C14179"
"1663","C01438"
"1664","C02798"
"1665","C03167"
"1666","C03557"
"1667","C04650"
"1668","C05672"
"1669","C05673"
"1670","C05674"
"1671","C05675"
"1672","C05676"
"1673","C05677"
"1674","C05678"
"1675","C05679"
"1676","C05680"
"1677","C05681"
"1678","C05682"
"1679","C05683"
"1680","C06367"
"1681","C06368"
"1682","C06451"
"1683","C06452"
"1684","C06454"
"1685","C06455"
"1686","C06456"
"1687","C06457"
"1688","C06459"
"1689","C17940"
"1690","C17941"
"1691","C17942"
"1692","C17943"
"1693","C17944"
"1694","C17945"
"1695","C17947"
"1696","C17948"
"1697","C17949"
"1698","C17950"
"1699","C17951"
"1700","C17952"
"1701","C17960"
"1702","C17961"
"1703","C17962"
"1704","C20396"
"1705","C20422"
"1706","C20423"
"1707","C20440"
"1708","C20986"
"1709","C21372"
"1710","C21403"
"1711","C21404"
"1712","C21613"
"1713","C00017"
"1715","C01528"
"1716","C02535"
"1717","C05172"
"1718","C05335"
"1719","C05336"
"1720","C05684"
"1721","C05686"
"1722","C05688"
"1723","C05689"
"1724","C05690"
"1725","C05695"
"1726","C05697"
"1727","C05698"
"1728","C05699"
"1729","C05703"
"1730","C06481"
"1731","C06482"
"1732","C16638"
"1733","C18870"
"1734","C18871"
"1735","C18872"
"1736","C18893"
"1737","C18902"
"1738","C18904"
"1739","C18905"
"1743","C00217"
"1744","C00692"
"1745","C00819"
"1746","C01050"
"1747","C01212"
"1748","C02237"
"1749","C02671"
"1750","C03933"
"1751","C05723"
"1752","C22053"
"1756","C00515"
"1757","C00792"
"1759","C01667"
"1760","C03341"
"1763","C03943"
"1764","C00005"
"1765","C00006"
"1773","C00127"
"1775","C00151"
"1777","C00669"
"1779","C01322"
"1780","C01419"
"1782","C01879"
"1783","C02090"
"1784","C02320"
"1785","C03170"
"1786","C03646"
"1787","C03740"
"1789","C05726"
"1790","C05727"
"1791","C05729"
"1792","C05730"
"1793","C16562"
"1794","C16563"
"1795","C16564"
"1796","C16565"
"1797","C16566"
"1798","C16567"
"1799","C16568"
"1800","C16663"
"1801","C16664"
"1806","C00092"
"1809","C00185"
"1810","C00208"
"1811","C00252"
"1812","C00369"
"1813","C00372"
"1814","C00394"
"1815","C00498"
"1816","C00501"
"1817","C00663"
"1818","C00689"
"1819","C00718"
"1820","C00721"
"1821","C00760"
"1822","C00963"
"1823","C00965"
"1824","C00973"
"1825","C01083"
"1826","C01231"
"1827","C01725"
"1828","C01898"
"1829","C01935"
"1830","C02591"
"1831","C02995"
"1832","C03323"
"1833","C04534"
"1834","C05731"
"1835","C06215"
"1836","C06400"
"1837","C16688"
"1838","C20237"
"1840","C00110"
"1841","C00381"
"1842","C00621"
"1843","C01246"
"1844","C03021"
"1845","C03862"
"1846","C06081"
"1847","G00001"
"1848","G00002"
"1849","G00003"
"1850","G00004"
"1851","G00005"
"1852","G00006"
"1853","G00007"
"1854","G00008"
"1855","G00009"
"1856","G00010"
"1857","G00011"
"1858","G00012"
"1859","G00013"
"1860","G00014"
"1861","G00015"
"1862","G00016"
"1863","G00017"
"1864","G00018"
"1865","G00019"
"1866","G00020"
"1867","G00021"
"1868","G00022"
"1869","G00171"
"1870","G10526"
"1871","G10595"
"1872","G10596"
"1873","G10597"
"1874","G10598"
"1875","G10599"
"1876","G10694"
"1877","C02189"
"1878","G00023"
"1879","G00024"
