,tn1mean,tn2mean,tn3mean,pn1mean,pn2mean,pn3mean
2.03_302.1032m/z,229.6822025,344.8799266,281.2988772,79.72255524,352.2575202,101.6743405
2.03_458.2236m/z,1012.511327,1810.009415,1040.976786,434.5095571,1216.334629,400.6991686
2.03_657.3209m/z,980.6827922,2372.357938,995.4757833,189.8999668,1914.859128,153.1258466
2.03_711.3233m/z,307.7735624,802.3247656,315.5918787,49.88592371,413.5618116,41.67500147
2.03_893.3985m/z,372.2568493,1094.151036,326.0931117,57.23694231,532.8237253,42.2736925
2.04_186.1133m/z,316.285786,386.6835324,335.3264849,260.5602898,508.3130602,251.8210941
2.04_241.0928m/z,123.3328475,170.3325826,129.6107565,56.62017482,93.11914441,51.97560615
2.04_255.1705m/z,8.224709746,13.79976854,1481.015616,12.86168084,14.48644162,1675.960502
2.04_300.1484m/z,145.7508946,186.0416568,135.3780364,106.8607212,201.4250275,97.15222444
2.04_333.1611m/z,844.8805566,1006.141649,846.7948717,692.4869212,1066.727924,672.623752
2.04_365.1513m/z,1018.649885,1373.339629,918.4065207,798.3501586,2136.005884,787.0458558
2.04_401.1940m/z,382.0140109,641.140629,368.0331587,195.264066,475.7106765,183.0174631
2.04_751.3436m/z,328.1322342,770.1161912,308.6452885,61.42738839,685.6422726,48.75808818
2.04_985.4409m/z,120.1795935,360.4243004,96.37559505,3.620594214,98.62865471,3.514645458
2.06_224.1036n,1572.813622,1796.202054,1408.238519,1496.172381,2241.537191,1224.964707
2.06_286.1496m/z,308.545043,375.4359567,296.1696239,273.123324,424.3733788,225.530723
2.06_291.1425m/z,612.6738378,771.8766173,636.2740142,500.7036082,723.0949983,458.1939674
2.06_329.0944m/z,119.954011,103.427417,113.5799136,133.4454136,298.9019437,108.9068262
2.06_357.0805m/z,138.2942147,138.8607359,137.4485927,153.6616163,324.3700133,120.0813262
2.06_386.1885m/z,294.7731812,557.2727148,267.9820306,167.0426751,343.4270334,121.3581712
2.06_435.2040m/z,419.6207784,668.1834535,420.6094474,240.3176128,634.6453918,205.6799529
2.06_660.3025m/z,581.0826815,1170.264054,567.7583612,177.1343475,928.222174,127.9462913
2.08_265.0861m/z,1232.47512,1340.870527,998.5876561,3520.089386,1067.725312,1167.680435
2.08_269.1356m/z,217.6114402,246.3952865,213.2778309,186.2957314,298.1305283,208.1498322
2.08_593.2561m/z,475.8002077,912.196273,425.5799399,162.4180244,798.3910581,140.0491917
2.08_784.1490m/z,281.4088493,326.2397804,368.2060486,223.230767,2.243286133,233.6044592
2.09_157.0868m/z,106.804373,106.6235996,102.377214,97.93557732,140.2758706,90.27056755
2.09_215.0940m/z,116.6549102,111.4705242,101.6700425,110.2748089,150.8840026,109.8535964
2.09_247.1118m/z,143.4805896,158.4340345,82.42380574,83.89478917,151.3305008,71.61350306
2.09_317.0906m/z,101.0553325,97.89570978,91.37621182,65.06041302,349.2854054,66.32747145
2.11_279.1012m/z,1158.983403,1294.823971,867.4523108,1656.706745,905.5531414,798.5613026
2.11_307.1285m/z,827.2696591,972.6474294,772.5368703,583.1265558,925.3119026,479.4757144
2.11_372.1906m/z,461.8279399,900.1399852,474.2207865,212.4825422,501.3012064,205.7520233
2.11_565.2482m/z,800.2551715,1332.609264,699.7477372,266.8534615,836.068765,195.2649312
2.13_199.0067m/z,269.9871104,227.4500965,279.6322582,251.3344414,375.9765543,286.904929
2.13_229.1312m/z,160.9366172,162.0534017,138.2893884,122.0177282,189.1653308,109.1797511
2.13_242.1214n,1184.091429,1260.29903,1092.571448,982.1911619,1518.939823,920.6629481
2.13_257.1323m/z,599.1258083,799.4599751,606.819953,412.1675016,719.6915713,393.0252484
2.13_289.1290m/z,457.871586,494.4801791,399.2655957,399.6323386,532.9443033,342.2192071
2.13_390.1819m/z,422.2047237,657.5056582,412.2435619,341.9643863,676.758893,272.01329
2.13_720.3332m/z,1222.948201,2794.612706,1220.106604,253.9196628,2053.796242,218.911315
2.15_164.0717m/z,549.2047971,1052.324101,544.3112253,164.8629175,667.9380521,177.2144869
2.15_352.1997n,1731.764758,2838.093745,1693.610289,1121.619645,2401.728601,1078.31822
2.15_547.2567m/z,784.8125444,1471.645592,774.9904362,254.358067,1236.590254,232.8406117
2.15_573.2851m/z,861.2035568,1729.465143,854.9329641,240.3604378,1544.06414,201.5892379
2.16_201.1166m/z,230.5613763,275.2703144,221.1066315,166.4119929,347.5082132,153.9774812
2.16_234.0803m/z,388.0268852,471.9326885,1061.57762,134.6311017,319.5026552,845.6586425
2.16_361.1437m/z,452.4835317,577.5728331,435.6811817,322.2567899,914.4074921,295.163709
2.16_486.2380m/z,814.4827007,1621.53058,799.2966285,306.5732391,1292.674351,262.0895413
2.16_635.2806m/z,1040.491448,2186.926112,1027.342385,239.5455864,1969.2942,182.1674182
2.19_243.1230m/z,509.918282,591.09265,499.5799549,411.1951846,735.5729388,368.1496112
2.19_317.1581m/z,1718.527329,2140.18069,1693.919264,1293.813366,2101.067431,1221.178296
2.19_664.3013m/z,137.1863111,257.1276316,132.7895265,50.39744545,186.4538992,45.25404023
2.21_204.1238m/z,832.9316396,846.7770388,845.7913095,848.8873102,891.3727425,802.8565497
2.21_212.1076m/z,165.049875,192.1418228,154.65491,140.8845435,217.0303382,129.8785229
2.21_250.1048m/z,879.0020357,1011.730914,1043.06465,676.5112674,865.6344382,904.173284
2.21_271.1222m/z,781.3149094,888.3476611,619.4647734,489.5102874,817.8344958,447.3826713
2.23_245.1368m/z,205.9890924,213.8918381,201.2977341,202.5122473,221.4119012,178.7405904
2.23_755.3470m/z,169.2141011,448.2500291,182.6539203,18.09632365,250.2169905,12.79825848
2.24_203.0826m/z,215.6893139,410.085519,195.1208018,67.3820304,224.9207242,71.97702676
2.24_221.0889m/z,515.0146676,873.575781,569.8441224,271.1721591,552.3863369,237.5954726
2.24_254.1141m/z,312.9077482,1018.127642,316.9420955,497.8984835,1079.649249,296.6188954
2.24_275.1060m/z,238.1837321,275.3040703,210.5865181,198.7500409,310.1568682,173.5906625
2.24_301.1565m/z,1446.93949,1934.032372,1425.074351,1057.512064,1771.321443,957.472459
2.24_515.2490m/z,1075.737259,2140.279469,1101.509145,399.8501402,1450.538174,346.7531889
2.26_1019.4649m/z,120.8922058,661.5965726,127.4083827,2.006347656,122.7126974,1.367197673
2.26_250.0755m/z,370.6673766,400.4520317,386.0050319,123.2551959,339.5085016,478.7783637
2.26_325.1639m/z,1151.344863,1286.976856,1137.913387,1039.502897,1291.713629,1024.150337
2.26_353.0483m/z,577.0612133,611.7711155,536.7960315,191.0336023,176.6726493,141.6349329
2.26_411.2152m/z,127.545938,463.0137213,135.7713832,42.30970569,113.2041393,30.57864166
2.26_602.3374m/z,128.4200134,261.4839561,132.956476,11.2540517,63.99858025,3.082021087
2.26_827.3883m/z,106.6457822,379.4120919,104.1135457,0.471791585,113.7678226,1.443603516
2.26_859.4082m/z,126.1454735,437.1456842,160.6785374,7.125956237,133.5470897,3.681935628
2.28_1057.5063m/z,85.64286924,412.9967025,97.0356388,0.496907552,37.73124118,0.963195801
2.28_137.0266m/z,121.5630612,117.2277644,122.5516731,124.270721,132.2355659,121.0400064
2.28_171.1025m/z,435.095149,447.8243352,431.5244448,425.2947206,496.6708865,410.7245587
2.28_227.1301m/z,284.563371,360.2742655,281.0045296,209.0507903,342.4302691,188.2427756
2.28_449.1890m/z,964.5613753,1569.750093,930.8600097,487.9817978,1708.272147,427.8731453
2.28_471.2352m/z,725.542329,1418.212498,716.734418,300.1289186,981.7444012,274.9373607
2.28_512.2674m/z,420.8817064,1007.370765,431.9851642,99.29114724,386.9378541,89.61494077
2.29_171.0117m/z,133.7273989,154.799957,142.1885575,138.6283547,213.9073235,168.2919739
2.29_273.0623m/z,162.4455528,246.9989485,298.0624664,193.201582,601.1039258,179.4428288
2.29_491.2223m/z,444.9320596,740.33357,454.8246448,200.3638975,949.3185234,177.3939922
2.31_196.0107m/z,643.6859327,255.3865823,36.74245615,102.3193851,549.3542765,26.29221488
2.31_417.2067m/z,607.1450223,991.0601904,607.6702417,322.7203829,826.7933225,309.4895586
2.31_585.2976m/z,176.1444312,410.5228303,199.4446963,32.65440873,597.1759247,32.89757193
2.33_493.2297m/z,370.255819,558.7614373,365.1838052,248.3497513,797.4909179,252.0219965
2.36_1111.5287m/z,71.33703611,550.6382287,87.57321689,1.997233073,27.13189692,0.968424479
2.36_315.1733m/z,268.9391965,349.7000557,245.4869987,213.2365927,377.9718013,216.2274615
2.36_353.1665m/z,149.8019955,188.7930491,132.7225811,115.4454974,305.3609255,109.0352242
2.36_537.2266m/z,164.9368574,314.9111299,150.2482115,78.84296288,515.8274926,70.03373158
2.36_559.2723m/z,806.3538939,1536.027417,821.7116748,305.1368437,1043.90039,264.4309032
2.38_331.1684m/z,1038.383151,1397.5857,1059.236954,776.2248029,1585.106187,796.8829126
2.38_393.1933m/z,755.0206776,1226.094759,723.3239818,432.0640452,899.6462923,380.0270079
2.38_501.2455m/z,623.2238014,1252.2029,625.2044997,216.3515234,917.0245554,197.4135874
2.38_554.1796m/z,174.2577222,204.4121469,274.3117974,4.7096195,17.88042227,37.8924633
2.38_619.2928m/z,475.555337,1332.66284,531.6102375,158.2671284,1070.510161,101.0866988
2.38_730.3905m/z,154.3619869,457.2117696,165.3903921,15.48387161,190.2205114,15.13102213
2.39_239.0834m/z,287.6541024,273.1230614,134.7846572,127.0004405,149.028552,117.1328302
2.39_254.1142m/z,69.8110901,172.950501,62.2722184,93.06259186,224.1281126,42.48047249
2.39_267.1231m/z,476.0833467,522.9133211,398.8571406,480.5910359,614.6659615,373.5868217
2.39_535.2518m/z,78.24874341,161.7324501,80.36730607,30.61713177,245.4137354,34.12921279
2.39_822.4005n,570.3011586,1015.870519,600.813802,405.9489109,858.9585919,377.3824748
2.41_142.0994n,953.9620071,940.2772177,921.8349481,964.614839,970.0873703,937.5579192
2.41_151.0400m/z,349.4144688,324.1819606,319.1934577,329.679423,425.835215,322.0569355
2.41_188.1406n,91.16745614,92.42949709,78.09584814,87.54531978,172.1651148,80.97789594
2.41_229.1489m/z,152.956361,226.2445399,163.0841376,118.412993,348.3369951,108.5314554
2.41_394.1298m/z,175.2283125,407.4861925,144.6601332,27.75380314,77.82913381,32.2983078
2.41_433.2394m/z,621.1776107,815.8323478,631.0890447,369.3483104,638.8247924,364.348975
2.41_581.2500m/z,95.42252518,163.4143444,87.1486512,48.0004659,368.3031913,52.28038679
2.41_647.3343m/z,130.4558478,311.285581,170.4914529,59.00721067,275.9372198,81.53203488
2.43_318.1583m/z,628.6197974,738.2863205,482.3458689,562.5521366,861.7080837,432.8421086
2.43_576.2795m/z,231.3304867,460.7856782,313.3508771,114.1249522,532.0696842,130.6007604
2.43_625.2776m/z,77.98991923,166.6746012,70.83238977,42.81838263,380.3800485,38.25410618
2.43_879.4184m/z,88.41730472,374.8494272,108.2550406,3.947687056,107.120844,6.817152926
2.44_273.0580m/z,214.0310665,418.8038508,241.3974451,303.514197,646.9630935,165.7225317
2.44_451.2483m/z,228.6772727,337.8915965,209.3121414,139.7142807,309.2504329,138.5376033
2.46_185.0275m/z,141.0957119,258.9355103,113.041888,109.6806854,2106.678139,107.970153
2.46_185.1176m/z,100.3850978,108.7092735,95.07651264,103.8345931,135.9371373,96.17875857
2.46_305.1841m/z,340.0091768,351.5472003,310.8012931,353.7283186,420.0237814,307.5073217
2.48_143.1076m/z,161.7691981,173.0374944,159.5011308,169.8402057,190.16735,156.5984922
2.48_257.1384m/z,121.0338117,142.5661896,100.0592121,115.5140931,176.3858676,97.50825717
2.48_369.1931m/z,179.8641122,238.7349411,143.5191522,138.5437025,232.4925517,127.8364986
2.50_207.1385m/z,374.1694437,385.2448446,335.8661211,354.5628071,315.1724939,355.682707
2.50_217.0422m/z,756.5566693,741.0476381,796.9937181,892.9030445,704.1752586,778.5438421
2.50_224.1652m/z,2444.60407,2283.692995,2455.10481,2545.002661,2279.659054,2534.624623
2.50_333.1611m/z,913.5198299,1076.60501,888.2297817,768.331651,1235.240981,759.1183771
2.52_757.3581m/z,103.3654546,286.768199,114.0060912,39.14807637,281.4295482,29.00803568
2.54_179.0700m/z,261.6208358,271.316783,256.3290871,259.4878342,285.3804937,251.5771756
2.54_285.1626m/z,246.6363907,347.4990548,218.7875291,195.2264736,287.1541068,186.104762
2.56_281.1257m/z,686.6202506,848.571748,632.6383257,459.0215759,679.5446855,515.935928
2.56_457.2535m/z,166.2495386,211.8773014,138.0231692,127.3544379,196.1027186,112.8796425
2.58_207.0119m/z,330.8607996,242.6805098,290.7625749,207.3498573,349.5070838,203.2480691
2.58_213.1488m/z,200.9600419,205.7127883,185.2896867,220.5910533,266.3583537,197.4092321
2.58_584.2281m/z,344.9213278,397.0053619,1413.087548,53.40399673,49.2772984,780.7108853
2.59_187.0069m/z,334.2169411,346.9955301,447.1470678,213.4805831,632.1683697,333.2624873
2.59_347.1685m/z,287.4703776,335.9726252,255.825566,261.4673376,544.8747153,211.4048411
2.59_424.1424m/z,335.8438872,530.3619225,436.3341197,153.2058783,599.358293,166.7110565
2.59_456.2034m/z,671.1026956,825.2606626,323.610778,605.5794313,790.2137578,251.3435684
2.61_285.1274m/z,341.8015013,371.6219063,302.9132099,315.4663699,363.3980614,289.3331633
2.61_465.2278m/z,393.3609684,541.7223858,161.3296853,462.9581038,668.8516716,143.2118413
2.63_221.0814m/z,204.8192805,205.0608902,189.0406972,193.3007708,251.8446102,189.6633789
2.63_369.2258m/z,52.14813804,62.45918121,57.50732906,479.1234638,797.4750631,247.8544902
2.63_391.1980m/z,516.5579539,596.2195582,511.0083193,499.7269105,703.8431521,503.2815659
2.64_301.1389m/z,399.3605166,431.4681022,297.0059049,372.8654028,475.1634193,274.7655925
2.64_394.1296m/z,277.2074785,567.5944105,211.6933974,23.66123513,86.9377371,46.89685612
2.66_279.1073m/z,332.9316542,326.432406,379.31848,181.6490251,229.2777442,306.096562
2.66_299.1778m/z,278.3756678,305.0929768,218.2007548,240.6091901,367.1936446,207.8569022
2.69_143.1078m/z,470.7273813,855.5661907,427.9780034,527.8232596,758.6383835,485.8460775
2.69_216.1718n,140.0628098,159.0229077,163.8303768,129.8507007,200.1916875,127.6243601
2.69_316.8891m/z,239.5229912,213.8792698,226.6771912,270.2914458,238.3894585,261.4425573
2.69_345.2093m/z,76.22765105,86.7912155,75.19163536,65.15588783,1130.444664,66.88015668
2.71_154.0629m/z,105.9368281,111.6426767,91.29061347,103.5939518,114.4772209,99.96850155
2.71_163.0764m/z,2526.839423,2661.118745,2240.448825,2786.94731,3368.495082,2462.036095
2.71_167.1439m/z,133.155947,140.2103891,110.016303,137.8134687,154.1919084,121.9181515
2.71_211.1336m/z,1183.073325,1256.478395,987.7134642,1248.094105,1398.865402,1078.17197
2.71_255.1282m/z,123.7832661,126.5950201,107.3784764,104.8736843,140.4085731,102.6689763
2.71_321.1467m/z,203.0666965,242.2241234,420.0585345,227.020001,269.976733,643.2341818
2.71_323.1782m/z,552.8650339,570.1320663,462.412647,549.5557732,639.057512,485.9053484
2.71_338.1418m/z,374.0836696,438.3466154,326.5754011,306.3774785,582.5142586,278.7948289
2.71_350.1275m/z,460.6541917,374.7567681,376.4463577,615.4521563,1177.405043,417.050901
2.71_383.1940m/z,337.484332,414.8128657,279.237898,365.4125453,595.539442,301.5963396
2.72_351.1838m/z,366.1033195,405.325839,327.402276,344.8141296,612.5904814,295.3833988
2.74_207.1386m/z,149.3787657,150.8610923,139.5118185,157.6218082,162.1337139,138.3258952
2.74_249.0319m/z,180.4357927,242.1237017,149.1906714,141.0961085,593.6693,123.8462384
2.74_257.1404m/z,117.4385634,126.1727786,103.7833539,122.3607393,162.3825961,100.5875033
2.74_297.1249m/z,171.8483208,238.4594216,100.5933396,106.5404407,133.9260667,84.17560927
2.74_466.1513n,1148.340309,1290.857803,195.7874654,1012.314831,1264.640743,251.7704984
2.76_245.0819m/z,258.1034623,217.232955,189.8786526,145.009814,218.4522188,201.7868144
2.76_281.1255m/z,2883.340164,3619.59184,5236.696405,944.0764689,1252.760564,1432.676833
2.76_303.1504m/z,279.0154088,329.6000226,230.0516223,263.0922667,402.5967078,206.0023863
2.78_253.1425m/z,349.2368081,370.5571912,308.7833339,328.5886832,390.5580328,302.8312503
2.78_329.1753m/z,39.12621326,62.46688683,20.18457513,8.812290064,2517.308697,19.98970423
2.79_246.1125m/z,701.2956062,573.0155745,21.37288673,23.69880423,57.23460267,16.28383261
2.79_277.1417m/z,503.477708,516.1859654,275.3624212,270.2446835,401.2378355,226.6688671
2.79_280.1007m/z,672.201782,564.5376153,2.626511205,0.476695775,33.2380797,0.150881542
2.79_547.3005m/z,638.4243239,794.9671454,512.6117339,889.8116597,1071.620474,496.6209571
2.79_612.2608m/z,136.3168732,155.139061,291.8337654,64.79937385,90.10679586,203.4527499
2.81_187.0977m/z,108.3848851,109.8942563,101.8899448,105.8845159,124.9458051,103.2052725
2.81_285.2035m/z,177.3463576,230.6609579,140.4301981,167.0767915,501.1920348,146.1231644
2.81_347.1166m/z,1257.020503,1311.031193,212.8511582,379.829702,410.9394506,226.9404597
2.81_428.1960m/z,280.8818563,318.836147,280.1357645,323.5673826,441.5694593,291.4267742
2.81_511.2681m/z,132.4051328,166.8564985,109.850291,135.3166999,206.3295453,98.80395917
2.83_619.2788m/z,333.7205472,671.1267088,211.42311,674.7609705,857.3662492,234.5890254
2.86_399.2317m/z,676.1151142,744.6350341,630.4251049,698.9762258,882.0583469,578.8608336
2.86_425.1022m/z,107.3500606,113.4888889,96.67191381,100.9198349,107.5573013,109.8316026
2.87_157.1234m/z,2222.242195,2300.703627,2058.853155,2367.888103,2496.148189,2201.664348
2.87_269.1399m/z,635.8332536,684.8751137,501.3354848,648.1552607,783.5306276,486.288792
2.87_345.2082m/z,94.72351513,121.1170389,80.51463274,83.52792223,957.410142,79.15046756
2.87_395.2013m/z,311.8951085,449.3432576,259.4123557,235.4085267,438.7196482,197.2096963
2.89_465.1443m/z,166.5051897,229.6809812,26.92937703,173.2231779,68.11371445,15.9449593
2.91_362.1730m/z,562.361024,675.1897594,387.8407564,518.1895858,943.5336726,368.3037413
2.91_379.2124m/z,405.0995871,487.5037765,338.2359081,399.5299291,635.0404527,310.4840477
2.92_283.1850m/z,132.1572775,160.0610894,102.3957753,133.0966688,179.3027249,95.38151044
2.92_327.1874m/z,784.160486,806.7728945,734.6333125,804.4585804,941.9137518,717.3421779
2.92_447.2312m/z,270.0662704,309.4603096,259.0000958,260.5543791,324.1440072,240.0323261
2.94_193.0891m/z,146.7610759,153.5697935,121.1769171,150.9812572,167.0371172,119.8288041
2.94_407.2776m/z,71.22974871,65.54902274,51.39311051,70.59196959,451.2084347,56.45919314
2.96_267.1160m/z,368.7129294,409.6811869,74.50351138,425.7440972,451.9097457,89.24176915
2.96_299.1409m/z,696.8731959,781.9061358,120.5337623,802.4850901,847.2686383,144.85124
2.96_305.1849m/z,251.643279,275.6482199,245.6135445,241.2467097,278.9133801,226.1876935
2.98_223.1335m/z,1015.566466,1068.301513,945.1329861,1014.012977,1028.468022,909.0095494
2.98_257.1402m/z,161.1719001,168.0427891,152.5966552,172.0417295,197.1063536,149.4530311
2.98_339.1839m/z,294.3607,313.4220267,150.237442,311.6066444,363.3706362,149.9226902
2.98_367.1927m/z,841.5718854,930.8832614,746.9961606,1058.692755,1571.322591,777.7890991
2.98_461.2533m/z,109.5014269,120.1657742,102.4543739,112.0831327,119.9363809,104.3585877
2.98_465.1445m/z,192.649506,222.8638149,30.40911466,213.5383485,42.80886122,21.95868028
2.98_603.2913m/z,222.7531108,362.081256,153.4963025,422.1610032,456.3010845,201.9831018
2.99_209.0686m/z,123.4037318,133.1251631,129.762438,128.5943043,136.4503046,127.6017931
2.99_249.1483m/z,164.0112471,169.6890137,142.9875881,185.7812507,194.3548997,148.4548956
2.99_459.2795m/z,258.8619005,296.6578701,257.2438759,271.9805436,350.6230524,224.3432139
3.02_195.1382m/z,207.9804353,219.5045116,223.348864,212.8371323,252.1454906,204.6468174
3.02_207.1385m/z,480.6558815,494.4258998,408.0026694,542.1946501,570.8918436,375.3210529
3.02_220.1465m/z,764.2459576,742.9198671,815.0498772,847.3774573,823.9871645,714.4106801
3.02_235.1336m/z,293.234912,290.2696502,323.9757984,331.6780437,325.4753823,285.7301624
3.02_235.1798m/z,115.0350818,117.9945377,104.8665712,115.9274157,109.6995862,118.3677498
3.02_239.1284m/z,310.9542456,328.0330172,325.6332833,335.2128254,371.4254871,304.4104743
3.02_253.1442m/z,389.6168673,391.9916993,411.9288689,450.4391432,452.3883762,379.1874517
3.02_293.1751m/z,5465.781295,5331.150105,5359.116216,5936.257938,5825.960702,4779.669546
3.02_347.1598m/z,565.3922881,675.2358985,195.517684,337.6697876,475.1885126,239.2270367
3.02_378.1524m/z,371.3305911,379.9622846,396.6985328,384.3130808,380.3486745,329.917631
3.02_421.0596m/z,2.870867955,0.798497607,1.249001179,2.826809486,1570.823457,0.540181478
3.02_445.2923m/z,105.843479,106.2700477,103.5447903,113.5637613,117.5494259,107.4906827
3.02_515.3100m/z,292.0854725,292.3289724,282.4966762,372.9438651,416.294143,319.9301277
3.02_589.1755m/z,0.52830263,2.343624519,647.5589451,2.657458262,5.099179042,900.2667366
3.04_171.1390m/z,2258.205912,2606.936269,2210.958759,2371.342487,2686.23913,2292.264823
3.04_209.0847m/z,3556.338509,3489.303981,3566.000675,3536.006263,3538.015483,3433.536554
3.04_441.1591m/z,131.6262242,140.8209236,141.8780584,137.7562032,140.5261539,125.1393859
3.06_303.0907m/z,225.411748,229.8023182,212.2108603,230.8362098,243.0872196,213.1241315
3.06_329.1060m/z,515.0493407,511.0990357,29.52973478,284.7810199,275.112631,66.33676092
3.07_252.0729m/z,631.671768,354.3918518,67.06327605,120.2061415,670.4871111,71.82493681
3.07_263.1298m/z,140.8022087,140.2414789,112.9550139,144.1871794,171.8624419,121.2858136
3.07_291.0796m/z,164.8632666,162.7198388,121.1634182,73.65010199,261.5458709,115.8915227
3.07_361.1321m/z,1354.592464,1413.015854,241.5783303,2068.758085,1529.364541,475.162824
3.07_387.2494m/z,108.4886639,115.1688898,97.14476467,121.3853508,148.422888,99.3464168
3.07_394.1376m/z,358.3398667,332.5540996,178.8903455,267.5313794,461.8427115,126.3407332
3.07_93.0347m/z,184.0773461,222.5631337,69.94634717,51.86034608,24.41673706,62.05812233
3.09_309.1702m/z,1390.868331,1491.90207,577.286828,1507.048457,1501.780373,624.6995106
3.09_355.1201m/z,266.5551191,282.1103708,274.6865845,238.1641029,257.6371802,246.5627589
